# Data collection last updated: 2026-03-03 09:22:44
# Summary: sim=2982
[sim]
id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
1,2026-02-28 23:00:00,19.5,47.92,0.0,3.49,sim,26.04,0.00
2,2026-02-28 22:00:00,31.24,50.29,0.0,12.62,sim,1231.07,0.00
3,2026-02-28 21:00:00,25.13,58.93,0.0,14.53,sim,1878.90,0.00
4,2026-02-28 20:00:00,24.95,47.45,0.0,13.5,sim,1506.98,0.00
5,2026-02-28 19:00:00,25.5,80.01,0.0,5.12,sim,82.21,0.00
6,2026-02-28 18:00:00,28.6,65.3,197.11,11.94,sim,1042.60,1.58
7,2026-02-28 17:00:00,29.25,74.6,291.27,14.19,sim,1750.06,2.33
8,2026-02-28 16:00:00,24.71,57.57,850.25,7.77,sim,287.32,6.80
9,2026-02-28 15:00:00,26.33,81.99,975.53,5.77,sim,117.66,7.80
10,2026-02-28 14:00:00,28.58,63.75,773.9,7.34,sim,242.21,6.19
11,2026-02-28 13:00:00,30.76,67.04,436.81,14.76,sim,1969.54,3.49
12,2026-02-28 12:00:00,21.39,37.21,271.76,14.83,sim,1997.70,2.17
13,2026-02-28 11:00:00,27.57,65.17,378.91,4.58,sim,58.84,3.03
14,2026-02-28 10:00:00,26.79,78.1,858.17,13.63,sim,1550.94,6.87
15,2026-02-28 09:00:00,27.22,49.41,794.48,9.78,sim,572.96,6.36
16,2026-02-28 08:00:00,31.27,49.42,828.82,9.74,sim,565.96,6.63
17,2026-02-28 07:00:00,31.12,82.93,624.59,12.5,sim,1196.29,5.00
18,2026-02-28 06:00:00,29.32,57.3,218.35,6.6,sim,176.09,1.75
19,2026-02-28 05:00:00,28.82,46.29,0.0,8.9,sim,431.79,0.00
20,2026-02-28 04:00:00,28.61,58.27,0.0,4.44,sim,53.61,0.00
21,2026-02-28 03:00:00,22.24,39.96,0.0,1.3,sim,1.35,0.00
22,2026-02-28 02:00:00,22.81,37.76,0.0,9.43,sim,513.62,0.00
23,2026-02-28 01:00:00,25.79,77.32,0.0,0.65,sim,0.17,0.00
24,2026-02-28 00:00:00,21.4,43.55,0.0,3.62,sim,29.06,0.00
25,2026-02-27 23:00:00,31.74,78.41,0.0,13.53,sim,1517.05,0.00
26,2026-02-27 22:00:00,23.7,72.9,0.0,8.71,sim,404.73,0.00
27,2026-02-27 21:00:00,31.71,73.37,0.0,5.12,sim,82.21,0.00
28,2026-02-27 20:00:00,21.65,54.86,0.0,1.42,sim,1.75,0.00
29,2026-02-27 19:00:00,22.87,59.31,0.0,14.77,sim,1973.55,0.00
30,2026-02-27 18:00:00,28.46,80.0,800.0,3.6,sim,28.58,2.56
31,2026-02-27 17:00:00,31.56,45.06,984.6,7.99,sim,312.43,7.88
32,2026-02-27 16:00:00,20.64,66.08,328.58,2.97,sim,16.05,2.63
33,2026-02-27 15:00:00,18.28,64.71,569.12,1.6,sim,2.51,4.55
34,2026-02-27 14:00:00,18.87,52.43,144.49,8.04,sim,318.33,1.16
35,2026-02-27 13:00:00,22.92,74.06,700.28,2.4,sim,8.47,5.60
36,2026-02-27 12:00:00,21.17,82.33,247.54,0.78,sim,0.29,1.98
37,2026-02-27 11:00:00,20.9,68.95,444.73,7.09,sim,218.30,3.56
